id,label,iconify_id,set,notes
noto_avocado,Avocado,noto:avocado,Noto Emoji,
noto_tomato,Tomato,noto:tomato,Noto Emoji,
twemoji_cucumber,Cucumber,twemoji:cucumber,Twemoji,
noto_leafy-green,Leafy Green (Lettuce),noto:leafy-green,Noto Emoji,
noto_carrot,Carrot,noto:carrot,Noto Emoji,
noto_ear-of-corn,Corn,noto:ear-of-corn,Noto Emoji,
noto_eggplant,Eggplant,noto:eggplant,Noto Emoji,
noto_broccoli,Broccoli,noto:broccoli,Noto Emoji,
noto_cauliflower,Cauliflower,noto:cauliflower,Noto Emoji,
noto_mushroom,Mushroom,noto:mushroom,Noto Emoji,
noto_onion,Onion,noto:onion,Noto Emoji,
noto_garlic,Garlic,noto:garlic,Noto Emoji,
noto_bell-pepper,Bell Pepper,noto:bell-pepper,Noto Emoji,
noto_hot-pepper,Hot Pepper,noto:hot-pepper,Noto Emoji,
noto_olive,Olive,noto:olive,Noto Emoji,
noto_herb,Herb (Parsley/Cilantro),noto:herb,Noto Emoji,
twemoji_herb,Basil (Leaf Herb),twemoji:herb,Twemoji,
noto_herb,Mint,noto:herb,Noto Emoji,reuse herb for mint
noto_herb,Dill,noto:herb,Noto Emoji,reuse herb for dill
twemoji_radish,Radish,twemoji:radish,Twemoji,
openmoji_beet,Beet,openmoji:beet,OpenMoji,
openmoji_cabbage,Cabbage,openmoji:cabbage,OpenMoji,
openmoji_cabbage,Red Cabbage,openmoji:cabbage,OpenMoji,use color styling
noto_leafy-green,Spinach,noto:leafy-green,Noto Emoji,use leafy green
noto_leafy-green,Arugula,noto:leafy-green,Noto Emoji,use leafy green
noto_leafy-green,Kale,noto:leafy-green,Noto Emoji,use leafy green
noto_peanuts,Green Peas,noto:peanuts,Noto Emoji,"placeholder, replace later if needed"
noto_peanuts,Edamame,noto:peanuts,Noto Emoji,placeholder for soy/edamame
twemoji_cucumber,Pickles,twemoji:cucumber,Twemoji,use cucumber
noto_tomato,Cherry Tomato,noto:tomato,Noto Emoji,use tomato
noto_eggplant,Roasted Eggplant,noto:eggplant,Noto Emoji,use eggplant with 'roasted' note
openmoji_sweet-potato,Sweet Potato,openmoji:sweet-potato,OpenMoji,
noto_potato,Potato,noto:potato,Noto Emoji,
openmoji_beet,Beetroot Cubes,openmoji:beet,OpenMoji,
openmoji_zucchini,Zucchini,openmoji:zucchini,OpenMoji,
noto_onion,Caramelized Onion,noto:onion,Noto Emoji,
noto_onion,Red Onion,noto:onion,Noto Emoji,style purple
noto_onion,Green Onion,noto:onion,Noto Emoji,style green
noto_poultry-leg,Chicken Breast,noto:poultry-leg,Noto Emoji,use chicken leg icon
noto_fish,Tuna,noto:fish,Noto Emoji,
noto_fish,Salmon,noto:fish,Noto Emoji,style orange
noto_egg,Hard-Boiled Egg,noto:egg,Noto Emoji,
noto_cheese-wedge,Bulgarian Cheese (Feta),noto:cheese-wedge,Noto Emoji,
noto_cheese-wedge,Halloumi,noto:cheese-wedge,Noto Emoji,
fluent-emoji-flat_tofu,Tofu,fluent-emoji-flat:tofu,Fluent Emoji Flat,
openmoji_chickpeas,Chickpeas,openmoji:chickpeas,OpenMoji,
openmoji_black-beans,Black Beans,openmoji:black-beans,OpenMoji,
openmoji_lentils,Green Lentils,openmoji:lentils,OpenMoji,
openmoji_lentils,Black Lentils,openmoji:lentils,OpenMoji,
openmoji_hummus,Hummus,openmoji:hummus,OpenMoji,
